Airline,Origin,Destination,Low,High,Class
AA,US,IT,30,62.5,ECO
AA,US,IT,50,162.5,FIRST
AA,US,LI,30,62.5,ECO
AA,US,LI,50,162.5,FIRST
AA,US,LT,30,62.5,ECO
AA,US,LT,50,162.5,FIRST
AA,US,LU,30,62.5,ECO
AA,US,LU,50,162.5,FIRST
AA,US,LV,30,62.5,ECO
AA,US,LV,50,162.5,FIRST
AA,US,MA,30,62.5,ECO
AA,US,MA,50,162.5,FIRST
AA,US,MC,30,62.5,ECO
AA,US,MC,50,162.5,FIRST
AA,US,MD,30,62.5,ECO
AA,US,MD,50,162.5,FIRST
AA,US,ME,30,62.5,ECO
AA,US,ME,50,162.5,FIRST
AA,US,MK,30,62.5,ECO
AA,US,MK,50,162.5,FIRST
AA,US,MT,30,62.5,ECO
AA,US,MT,50,162.5,FIRST
AA,US,NL,30,62.5,ECO
AA,US,NL,50,162.5,FIRST
AA,US,NO,30,62.5,ECO
AA,US,NO,50,162.5,FIRST
AA,US,PL,30,62.5,ECO
AA,US,PL,50,162.5,FIRST
AA,US,PT,30,62.5,ECO
AA,US,PT,50,162.5,FIRST
AA,US,RO,30,62.5,ECO
AA,US,RO,50,162.5,FIRST
AA,US,RS,30,62.5,ECO
AA,US,RS,50,162.5,FIRST
AA,US,RU,30,62.5,ECO
AA,US,RU,50,162.5,FIRST
AA,US,SE,30,62.5,ECO
AA,US,SE,50,162.5,FIRST
AA,US,SI,30,62.5,ECO
AA,US,SI,50,162.5,FIRST
AA,US,SJ,30,62.5,ECO
AA,US,SJ,50,162.5,FIRST
AA,US,SK,30,62.5,ECO
AA,US,SK,50,162.5,FIRST
AA,US,SM,30,62.5,ECO
AA,US,SM,50,162.5,FIRST
AA,US,TN,30,62.5,ECO
AA,US,TN,50,162.5,FIRST
AA,US,TR,30,62.5,ECO
AA,US,TR,50,162.5,FIRST
AA,US,UA,30,62.5,ECO
AA,US,UA,50,162.5,FIRST
AA,US,VA,30,62.5,ECO
AA,US,VA,50,162.5,FIRST
AA,US,MX,17.5,45,ECO
AA,US,MX,30,70,FIRST
AA,US,CN,35,80,ECO
AA,US,CN,60,170,FIRST
AA,US,FM,35,80,ECO
AA,US,FM,60,170,FIRST
AA,US,HK,35,80,ECO
AA,US,HK,60,170,FIRST
AA,US,JP,35,80,ECO
AA,US,JP,60,170,FIRST
AA,US,KP,35,80,ECO
AA,US,KP,60,170,FIRST
AA,US,KR,35,80,ECO
AA,US,KR,60,170,FIRST
AA,US,PH,35,80,ECO
AA,US,PH,60,170,FIRST
AA,US,TW,35,80,ECO
AA,US,TW,60,170,FIRST
AA,US,AO,40,80,ECO
AA,US,AO,60,175,FIRST
AA,US,BF,40,80,ECO
AA,US,BF,60,175,FIRST
AA,US,BI,40,80,ECO
AA,US,BI,60,175,FIRST
AA,US,BJ,40,80,ECO
AA,US,BJ,60,175,FIRST
AA,US,BW,40,80,ECO
AA,US,BW,60,175,FIRST
AA,US,CD,40,80,ECO
AA,US,CD,60,175,FIRST
AA,US,CF,40,80,ECO
AA,US,CF,60,175,FIRST
AA,US,CG,40,80,ECO
AA,US,CG,60,175,FIRST
AA,US,CI,40,80,ECO
AA,US,CI,60,175,FIRST
AA,US,CM,40,80,ECO
AA,US,CM,60,175,FIRST
AA,US,CV,40,80,ECO
AA,US,CV,60,175,FIRST
AA,US,DJ,40,80,ECO
AA,US,DJ,60,175,FIRST
AA,US,ER,40,80,ECO
AA,US,ER,60,175,FIRST
AA,US,ET,40,80,ECO
AA,US,ET,60,175,FIRST
AA,US,GA,40,80,ECO
AA,US,GA,60,175,FIRST
AA,US,GH,40,80,ECO
AA,US,GH,60,175,FIRST
AA,US,GM,40,80,ECO
AA,US,GM,60,175,FIRST
AA,US,GN,40,80,ECO
AA,US,GN,60,175,FIRST
AA,US,GQ,40,80,ECO
AA,US,GQ,60,175,FIRST
AA,US,GW,40,80,ECO
AA,US,GW,60,175,FIRST
AA,US,KE,40,80,ECO
AA,US,KE,60,175,FIRST
AA,US,KM,40,80,ECO
AA,US,KM,60,175,FIRST
AA,US,LR,40,80,ECO
AA,US,LR,60,175,FIRST
AA,US,LS,40,80,ECO
AA,US,LS,60,175,FIRST
AA,US,LY,40,80,ECO
AA,US,LY,60,175,FIRST
AA,US,MG,40,80,ECO
AA,US,MG,60,175,FIRST
AA,US,ML,40,80,ECO
AA,US,ML,60,175,FIRST
AA,US,MR,40,80,ECO
AA,US,MR,60,175,FIRST
AA,US,MU,40,80,ECO
AA,US,MU,60,175,FIRST
AA,US,MW,40,80,ECO
AA,US,MW,60,175,FIRST
AA,US,MZ,40,80,ECO
AA,US,MZ,60,175,FIRST
AA,US,NA,40,80,ECO
AA,US,NA,60,175,FIRST
AA,US,NE,40,80,ECO
AA,US,NE,60,175,FIRST
AA,US,NG,40,80,ECO
AA,US,NG,60,175,FIRST
AA,US,RE,40,80,ECO
AA,US,RE,60,175,FIRST
AA,US,RW,40,80,ECO
AA,US,RW,60,175,FIRST
AA,US,SC,40,80,ECO
AA,US,SC,60,175,FIRST
AA,US,SD,40,80,ECO
AA,US,SD,60,175,FIRST
AA,US,SL,40,80,ECO
AA,US,SL,60,175,FIRST
AA,US,SN,40,80,ECO
AA,US,SN,60,175,FIRST
AA,US,SO,40,80,ECO
AA,US,SO,60,175,FIRST
AA,US,ST,40,80,ECO
AA,US,ST,60,175,FIRST
AA,US,SZ,40,80,ECO
AA,US,SZ,60,175,FIRST
AA,US,TD,40,80,ECO
AA,US,TD,60,175,FIRST
AA,US,TG,40,80,ECO
AA,US,TG,60,175,FIRST
AA,US,TY,40,80,ECO
AA,US,TY,60,175,FIRST
AA,US,TZ,40,80,ECO
AA,US,TZ,60,175,FIRST
AA,US,UG,40,80,ECO
AA,US,UG,60,175,FIRST
AA,US,ZA,40,80,ECO
AA,US,ZA,60,175,FIRST
AA,US,ZM,40,80,ECO
AA,US,ZM,60,175,FIRST
AA,US,ZW,40,80,ECO
AA,US,ZW,60,175,FIRST
AA,US,AE,40,80,ECO
AA,US,AE,60,175,FIRST
AA,US,BH,40,80,ECO
AA,US,BH,60,175,FIRST
AA,US,EG,40,80,ECO
AA,US,EG,60,175,FIRST
AA,US,IL,40,80,ECO
AA,US,IL,60,175,FIRST
AA,US,IQ,40,80,ECO
AA,US,IQ,60,175,FIRST
AA,US,IR,40,80,ECO
AA,US,IR,60,175,FIRST
AA,US,JO,40,80,ECO
AA,US,JO,60,175,FIRST
AA,US,KG,40,80,ECO
AA,US,KG,60,175,FIRST
AA,US,KW,40,80,ECO
AA,US,KW,60,175,FIRST
AA,US,KZ,40,80,ECO
AA,US,KZ,60,175,FIRST
AA,US,LB,40,80,ECO
AA,US,LB,60,175,FIRST
AA,US,OM,40,80,ECO
AA,US,OM,60,175,FIRST
AA,US,PS,40,80,ECO
AA,US,PS,60,175,FIRST
AA,US,QA,40,80,ECO
AA,US,QA,60,175,FIRST
AA,US,SA,40,80,ECO
AA,US,SA,60,175,FIRST
AA,US,SY,40,80,ECO
AA,US,SY,60,175,FIRST
AA,US,UZ,40,80,ECO
AA,US,UZ,60,175,FIRST
AA,US,YE,40,80,ECO
AA,US,YE,60,175,FIRST
AA,US,ZA,50,100,ECO
AA,US,ZA,70,190,FIRST
AA,US,AR,30,62.5,ECO
AA,US,AR,50,162.5,FIRST
AA,US,BR,30,62.5,ECO
AA,US,BR,50,162.5,FIRST
AA,US,CL,30,62.5,ECO
AA,US,CL,50,162.5,FIRST
AA,US,PY,30,62.5,ECO
AA,US,PY,50,162.5,FIRST
AA,US,UY,30,62.5,ECO
AA,US,UY,50,162.5,FIRST
AA,US,AU,50,95,ECO
AA,US,AU,75,185,FIRST
AA,US,CC,50,95,ECO
AA,US,CC,75,185,FIRST
AA,US,CK,50,95,ECO
AA,US,CK,75,185,FIRST
AA,US,CX,50,95,ECO
AA,US,CX,75,185,FIRST
AA,US,DS,50,95,ECO
AA,US,DS,75,185,FIRST
AA,US,FJ,50,95,ECO
AA,US,FJ,75,185,FIRST
AA,US,KI,50,95,ECO
